id_statoedificioentita;id_statoedificio;id_catastro;id_situazione;entita;data_limite;mensile;m2;prezzo_vendita;tmstmp;ordine;sigillato;note;chiave;chiaveoccupante;tipoentita;codiceallarme;inquilino;richiestauscita;m2t
62;2;12840;4;LOCAL 1;NULL;NULL;90;80000;0x0000000001544D3E;1;0;NULL;0;0;NULL;NULL;NULL;0;0
63;2;12840;4;LOCAL 2;NULL;NULL;90;80000;0x0000000001544D3F;2;0;NULL;0;0;NULL;NULL;NULL;0;0
64;2;12840;2;ENTLO1;NULL;NULL;45;135000;0x0000000001544D40;3;0;NULL;0;0;NULL;NULL;NULL;0;0
65;2;12840;2;ENTLO 2;NULL;NULL;50;135000;0x0000000001544D41;4;0;NULL;0;0;NULL;NULL;NULL;0;0
66;2;12840;2;1-1;NULL;NULL;50;150000;0x0000000001544D42;5;0;NULL;0;0;NULL;NULL;NULL;0;0
67;2;12840;2;1-2;NULL;NULL;50;150000;0x0000000001544D43;8;0;NULL;0;0;NULL;NULL;NULL;0;0
68;2;12840;2;1-3;NULL;NULL;35;125000;0x0000000001544D44;5;0;NULL;0;0;NULL;NULL;NULL;0;0
69;2;12840;2;1-4;NULL;NULL;35;125000;0x0000000001544D45;8;0;NULL;0;0;NULL;NULL;NULL;0;0
70;2;12840;2;2-1;NULL;NULL;50;150000;0x0000000001544D46;9;0;NULL;0;0;NULL;NULL;NULL;0;0
71;2;12840;2;2-2;NULL;NULL;50;150000;0x0000000001544D47;10;0;NULL;0;0;NULL;NULL;NULL;0;0
72;2;12840;4;2-3;NULL;NULL;35;50000;0x0000000001544D48;11;0;NULL;0;0;NULL;NULL;NULL;0;0
73;2;12840;4;2-4;NULL;NULL;35;50000;0x0000000001544D49;12;0;NULL;0;0;NULL;NULL;NULL;0;0
74;2;12840;2;3-1;NULL;NULL;50;150000;0x0000000001544D4A;13;0;NULL;0;0;NULL;NULL;NULL;0;0
75;2;12840;2;3-2;NULL;NULL;50;150000;0x0000000001544D4B;14;0;NULL;0;0;NULL;NULL;NULL;0;0
76;2;12840;2;3-3;NULL;NULL;35;125000;0x0000000001544D4C;15;0;NULL;0;0;NULL;NULL;NULL;0;0
77;2;12840;2;3-4;NULL;NULL;35;125000;0x0000000001544D4D;16;0;NULL;0;0;NULL;NULL;NULL;0;0
78;2;12840;2;4-1;NULL;NULL;50;180000;0x0000000001544D4E;17;0;NULL;0;0;NULL;NULL;NULL;0;0
79;2;12840;2;4-2;NULL;NULL;50;180000;0x0000000001544D4F;18;0;NULL;0;0;NULL;NULL;NULL;0;0
80;2;12840;2;4-3;NULL;NULL;35;125000;0x0000000001544D50;19;0;NULL;0;0;NULL;NULL;NULL;0;0
81;2;12840;2;4-4;NULL;NULL;35;125000;0x0000000001544D51;20;0;NULL;0;0;NULL;NULL;NULL;0;0
82;2;12840;2;ATICO;NULL;NULL;20;99000;0x0000000001544D52;21;0;NULL;0;0;NULL;NULL;NULL;0;0
83;3;22755;2;BJ1;NULL;NULL;50;80000;0x0000000001544D53;1;0;NULL;0;0;NULL;NULL;NULL;0;0
84;3;22755;2;BJ2;NULL;NULL;50;80000;0x0000000001544D54;2;0;NULL;0;0;NULL;NULL;NULL;0;0
85;3;22755;2;PPAL1;NULL;NULL;36;120000;0x0000000001544D55;3;0;NULL;0;0;NULL;NULL;NULL;0;0
86;3;22755;2;PPAL2;NULL;NULL;36;120000;0x0000000001544D56;4;0;NULL;0;0;NULL;NULL;NULL;0;0
87;3;22755;2;1-1;NULL;NULL;36;120000;0x0000000001544D57;5;0;NULL;0;0;NULL;NULL;NULL;0;0
88;3;22755;2;1-2;NULL;NULL;36;120000;0x0000000001544D58;6;0;NULL;0;0;NULL;NULL;NULL;0;0
89;3;22755;2;2-1;NULL;NULL;36;120000;0x0000000001544D59;7;0;NULL;0;0;NULL;NULL;NULL;0;0
90;3;22755;2;2-2;NULL;NULL;36;120000;0x0000000001544D5A;8;0;NULL;0;0;NULL;NULL;NULL;0;0
91;3;22755;2;3-1;NULL;NULL;36;150000;0x0000000001544D5B;9;0;NULL;0;0;NULL;NULL;NULL;0;0
92;3;22755;2;3-2;NULL;NULL;36;150000;0x0000000001544D5C;10;0;NULL;0;0;NULL;NULL;NULL;0;0
112;10;4786;2;PPAL1;NULL;NULL;50;185387;0x0000000001544D5D;2;0;NULL;1;1;VIVIENDA;NULL;NULL;0;0
113;10;4786;2;PPAL2;NULL;NULL;90;249503;0x0000000001544D5E;3;0;NULL;1;1;VIVIENDA;NULL;NULL;0;0
114;10;4786;2;1º1ª;NULL;NULL;60;220877;0x0000000001544D5F;4;0;NULL;1;1;VIVIENDA;NULL;NULL;0;0
115;10;4786;2;1º2ª;NULL;NULL;90;249503;0x0000000001544D60;5;0;NULL;1;1;VIVIENDA;592055986;NULL;0;0
116;10;4786;2;ATICO;NULL;NULL;90;249503;0x0000000001544D61;6;0;NULL;1;1;VIVIENDA;592055987;NULL;0;0
120;58;18457;2;BJ;NULL;NULL;43;42279;0x0000000001544D62;1;1;NULL;1;1;espectaculos;NULL;NULL;0;0
121;58;18457;2;1;NULL;NULL;43;NULL;0x0000000001544D63;2;1;NULL;1;1;vivienda;NULL;NULL;0;0
122;58;18457;2;2;NULL;NULL;43;NULL;0x0000000001544D64;3;1;NULL;1;1;vivienda;NULL;NULL;0;0
131;96;14867;2;VIVIENDA;NULL;NULL;78;NULL;0x0000000001544D65;0;0;NULL;0;0;NULL;NULL;NULL;0;0
143;98;12107;2;VIVIENDA;NULL;NULL;89;NULL;0x0000000001544D66;0;0;NULL;0;0;NULL;NULL;NULL;0;0
144;98;12107;2;VIVIENDA;NULL;NULL;78;NULL;0x0000000001544D67;0;0;NULL;0;0;NULL;NULL;NULL;0;0
146;98;12107;2;ELEMENTOS COMUNES;NULL;NULL;48;NULL;0x0000000001544D68;0;0;NULL;0;0;NULL;NULL;NULL;0;0
147;101;11284;5;VIVIENDA;2017-05-01 00:00:00.000;590;46;NULL;0x0000000001544D69;0;0;NULL;0;0;NULL;NULL;NULL;0;0
148;101;11284;2;COMERCIO;NULL;NULL;210;NULL;0x0000000001544D6A;0;0;NULL;0;0;NULL;NULL;NULL;0;0
149;101;11284;2;COMERCIO;NULL;NULL;36;NULL;0x0000000001544D6B;0;0;NULL;0;0;NULL;NULL;NULL;0;0
150;101;11284;2;VIVIENDA;NULL;NULL;48;NULL;0x0000000001544D6C;0;0;NULL;0;0;NULL;NULL;NULL;0;0
151;101;11284;5;VIVIENDA;2017-10-31 00:00:00.000;600;50;NULL;0x0000000001544D6D;0;0;NULL;0;0;NULL;NULL;NULL;0;0
152;101;11284;4;VIVIENDA;NULL;298;48;NULL;0x0000000001544D6E;0;0;NULL;0;0;NULL;NULL;NULL;0;0
153;101;11284;5;VIVIENDA;2017-12-31 00:00:00.000;625;56;NULL;0x0000000001544D6F;0;0;NULL;0;0;NULL;NULL;NULL;0;0
154;101;11284;5;VIVIENDA;2016-12-31 00:00:00.000;400;48;NULL;0x0000000001544D70;0;0;NULL;0;0;NULL;NULL;NULL;0;0
